100
x1,x2,class
Continuo,Continuo,Nominal
0.203301,-2.649879,+
-0.193637,1.778345,-
0.203920,2.026096,+
0.203019,0.928457,+
-0.205889,1.459261,-
0.204127,-0.455867,+
0.201630,-0.721254,+
0.177779,0.070267,+
0.196279,2.929978,+
-0.203506,-2.718576,-
-0.202805,1.053624,-
0.207340,-1.046066,+
-0.188593,1.085148,-
0.218577,-1.136413,+
-0.205795,-0.463452,-
0.195265,0.994935,+
0.186913,0.093178,+
-0.200515,0.477297,-
0.208365,0.402007,+
0.198217,-1.898578,+
-0.181077,-0.520669,-
-0.186530,-2.082560,-
0.189031,1.095599,+
-0.190795,2.443123,-
0.199927,-0.831950,+
-0.203943,1.985898,-
-0.190319,1.443320,-
-0.200813,-1.828138,-
-0.219227,0.196288,-
-0.195493,-1.259527,-
-0.196726,-0.398700,-
0.184226,-1.218058,+
-0.194683,1.937278,-
0.186291,-0.539582,+
0.192428,-0.858924,+
0.192245,0.219100,+
0.184006,-1.860896,+
-0.208588,0.368255,-
-0.193081,0.912337,-
-0.192411,-0.084071,-
-0.190026,0.342963,-
0.185596,-2.080957,+
0.203496,0.717421,+
0.194822,-1.436350,+
-0.211489,1.497563,-
0.202463,-0.144365,+
-0.198366,1.447409,-
-0.193638,-1.076312,-
0.212693,0.817596,+
0.206994,-0.872109,+
0.205788,0.714296,+
0.202216,-1.450224,+
0.207209,-1.878127,+
-0.212839,-0.610077,-
0.189332,-1.425014,+
-0.191532,1.116064,-
-0.202611,-1.637232,-
-0.200273,0.276381,-
0.202285,0.715712,+
-0.194980,-0.602390,-
-0.210250,-0.280101,-
-0.193557,-3.968937,-
-0.184412,-0.799325,-
0.196074,0.328012,+
0.204350,0.944004,+
-0.204055,-2.683557,-
-0.206149,-0.633101,-
-0.187081,-0.966962,-
0.190626,1.083328,+
-0.207043,-0.157662,-
0.194113,-0.932673,+
-0.200174,2.814610,-
0.200574,0.588818,+
0.209434,0.927426,+
0.201480,-3.077352,+
-0.198659,0.742295,-
-0.195547,0.322980,-
-0.195045,1.377082,-
0.197999,-1.090785,+
-0.205203,4.255456,-
-0.183357,-0.254247,-
0.201567,0.007008,+
0.183819,-0.056834,+
-0.189517,-0.305657,-
-0.196542,-4.010805,-
0.218610,1.401349,+
0.198728,-3.502393,+
0.179477,2.675452,+
0.189670,1.569969,+
-0.209469,-0.446305,-
0.188113,-1.835483,+
-0.194323,-2.542403,-
-0.192460,0.985300,-
0.176511,3.097141,+
0.204037,0.149611,+
0.189591,1.379555,+
-0.200736,-2.946031,-
-0.193435,-0.123722,-
-0.196392,-0.031205,-
0.183250,2.046516,+
