1,fun,1
1,pixar,2
2,fantasy,1
2,game,1
2,magic board game,1
2,Robin Williams,1
3,moldy,1
3,old,1
5,pregnancy,1
5,remake,1
7,remake,1
11,politics,1
11,president,1
14,politics,1
14,president,1
16,Mafia,1
17,Jane Austen,1
21,Hollywood,1
22,serial killer,1
25,alcoholism,1
26,Shakespeare,1
28,In Netflix queue,1
28,Jane Austen,1
29,kidnapping,1
31,high school,1
31,teacher,1
32,Brad Pitt,1
32,Bruce Willis,1
32,mindfuck,1
32,Post apocalyptic,1
32,post-apocalyptic,1
32,remake,1
32,time travel,3
32,twist ending,1
34,Animal movie,1
34,pigs,1
34,villain nonexistent or not needed for good story,1
36,death penalty,1
36,Nun,1
38,twins,1
39,chick flick,1
39,Emma,1
39,funny,1
39,Jane Austen,1
39,Paul Rudd,1
39,quotable,1
39,seen more than once,1
40,In Netflix queue,1
40,South Africa,1
41,Shakespeare,1
43,England,1
45,Journalism,1
46,wedding,1
47,mystery,1
47,serial killer,1
47,twist ending,1
50,heist,1
50,mindfuck,1
50,suspense,1
50,thriller,1
50,tricky,1
50,twist ending,1
52,adoption,1
52,prostitution,1
58,writing,1
62,music,1
92,Jekyll and Hyde,1
96,theater,1
101,crime,1
101,off-beat comedy,1
101,quirky,1
104,Adam Sandler,1
104,golf,1
104,test tag,1
107,muppets,1
110,beautiful scenery,1
110,epic,1
110,historical,1
110,inspirational,1
110,Medieval,1
110,mel gibson,1
110,Oscar (Best Cinematography),1
110,revenge,1
110,Scotland,1
110,sword fight,1
111,assassination,1
116,Holocaust,1
122,dating,1
140,journalism,1
147,addiction,1
147,heroin,1
147,Leonardo DiCaprio,1
147,Mark Wahlberg,1
150,moon,1
150,NASA,1
150,space,1
153,superhero,2
160,Michael Crichton,1
161,submarine,1
162,In Netflix queue,1
175,controversial,1
175,New York City,1
175,Nudity (Full Frontal),1
185,computers,1
199,Made me cry,1
215,generation X,1
216,Adam Sandler,1
216,school,1
216,stop looking at me swan,1
222,Ireland,1
223,cynical,1
223,generation X,1
223,hilarious,1
223,independent film,1
223,quirky,1
223,witty,1
224,mental illness,1
224,psychology,1
230,Stephen King,1
232,In Netflix queue,1
235,movie business,1
237,basketball,1
237,France,1
237,infertility,1
246,basketball,1
247,Australia,1
248,bad,1
248,Sinbad,1
249,Beethoven,1
252,Einstein,1
257,court,1
260,action,1
260,classic,2
260,classic sci-fi,3
260,darth vader,1
260,engrossing adventure,1
260,EPIC,2
260,great soundtrack,1
260,luke skywalker,1
260,Nerd,1
260,oldie but goodie,1
260,ROBOTS AND ANDROIDS,1
260,sci-fi,3
260,space,1
260,space action,2
260,space adventure,1
260,space epic,1
260,space opera,1
260,Star Wars,2
261,Louisa May Alcott,1
262,England,1
262,Girl Power,1
262,India,1
272,England,1
272,mental illness,1
273,gothic,1
277,Christmas,1
279,In Netflix queue,1
280,prison,1
282,disability,1
